Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Type
Purine metabolism	5/136	0.040488834394757	0.721653930683027	0	0	2.66410912190963	8.54307607852946	ENTPD4B;PDE3B;PDE4B;DCK;HDDC3	Up
Prostate cancer	4/97	0.045413216731684	0.764455814983352	0	0	2.98819662333782	9.23936082134563	GSK3B;CCNE2;CCNE1;ETV5	Up
Pyrimidine metabolism	3/58	0.046026615143289	0.734003388864021	0	0	3.74812593703148	11.5387386047236	ENTPD4B;TYMS;DCK	Up
Melanogenesis	4/100	0.049808477104128	0.754598428127545	0	0	2.89855072463768	8.69440604771986	GSK3B;FZD3;FZD4;CALM2	Up
Aldosterone synthesis and secretion	4/102	0.052864165435043	0.762754386991326	0	0	2.84171639670361	8.35473024052955	NR4A2;NR4A1;ATP1B1;CALM2	Up
Basal cell carcinoma	3/63	0.056380062977391	0.776507231006799	0	0	3.45065562456867	9.92284222318935	GSK3B;FZD3;FZD4	Up
Parathyroid hormone synthesis, secretion and action	4/107	0.060939365371919	0.802809900334416	0	0	2.70892591087634	7.5792385736451	NR4A2;VDR;PDE4B;TNFSF11	Up
mTOR signaling pathway	5/154	0.062598305623522	0.790303608496968	0	0	2.35271974402409	6.51942656681557	GSK3B;FZD3;FZD4;SKP2;WDR24	Up
Proteoglycans in cancer	6/203	0.062923178816326	0.76262892725387	0	0	2.14178624973228	5.9238395384705	FZD3;FZD4;SDC1;EZR;FGF2;ESR1	Up
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.0671279600202	0.782298918696944	0	0	14.4927536231884	39.1471685505821	HK2	Up
Wnt signaling pathway	5/160	0.071223201985727	0.799282600062043	0	0	2.26449275362319	5.98264638374648	GSK3B;SFRP1;FZD3;FZD4;BAMBI	Up
Hepatitis B	5/163	0.075768625401404	0.819924767736623	0	0	2.22281497288166	5.73502041639913	MAP2K3;IL6;CCNE2;CCNE1;MAP2K7	Up
Bile secretion	3/72	0.077508080450704	0.809825806088393	0	0	3.01932367149758	7.72153708990906	NCEH1;ATP1B1;AQP1	Up
Prolactin signaling pathway	3/72	0.077508080450704	0.782831612552113	0	0	3.01932367149758	7.72153708990906	GSK3B;TNFSF11;ESR1	Up
Kaposi sarcoma-associated herpesvirus infection	6/216	0.079504413611696	0.777091526591739	0	0	2.01288244766506	5.09650310333055	GSK3B;IL6;MAP2K7;CXCL3;CALM2;FGF2	Up
Gastric acid secretion	3/74	0.082612979575156	0.782241650352259	0	0	2.93772032902468	7.32546554960719	ATP1B1;EZR;CALM2	Up
Influenza A	5/168	0.08368535704757	0.768383732891327	0	0	2.15665976535542	5.35000703601558	MAP2K3;GSK3B;IL6;KPNA2;MAP2K7	Up
Base excision repair	2/35	0.083871276916116	0.747441085458326	0	0	4.1407867494824	10.2628243194906	POLD1;UNG	Up
Renin secretion	3/76	0.087858689021473	0.760605222100182	0	0	2.8604118993135	6.95659485631405	PDE3B;CALM2;AQP1	Up
Hepatocellular carcinoma	5/171	0.088637528929663	0.746032535157998	0	0	2.11882362912111	5.13433327818102	GSK3B;FZD3;PBRM1;FZD4;DPF1	Up
Lysosome	4/124	0.092906010076294	0.760824893327484	0	0	2.33754090696587	5.5543874268704	ENTPD4B;GGA1;PSAP;PPT2	Up
Alzheimer disease	5/175	0.095472512199178	0.761267663061864	0	0	2.0703933747412	4.86318199441339	GSK3B;APOE;CYC1;ATP5G2;CALM2	Up
Epstein-Barr virus infection	6/229	0.098308795804344	0.763783721249136	0	0	1.89861401177141	4.40410437942353	MAP2K3;IL6;CCNE2;CCNE1;SKP2;MAP2K7	Up
Ferroptosis	2/40	0.10521379181957	0.796994473033241	0	0	3.6231884057971	8.15855393596024	MAP1LC3A;GPX4	Up
RNA degradation	3/83	0.107268961402204	0.792743787923608	0	0	2.61917234154007	5.84708208619613	ENO1;EXOSC2;LSM4	Up
Rheumatoid arthritis	3/84	0.110168265387465	0.794785343152423	0	0	2.5879917184265	5.70845340741718	IL11;IL6;TNFSF11	Up
Carbohydrate digestion and absorption	2/43	0.118645748203724	0.836038644319267	0	0	3.37040781934614	7.18440556629361	ATP1B1;HK2	Up
Mineral absorption	2/44	0.123214158381949	0.848497499766602	0	0	3.29380764163373	6.89667757758345	VDR;ATP1B1	Up
Pathways in cancer	11/535	0.123470281623105	0.831366562928905	0	0	1.48990925098199	3.11652480719517	GSK3B;FZD3;IL6;RAD51;CCNE2;FZD4;CCNE1;SKP2;CALM2;FGF2;ESR1	Up
Insulin signaling pathway	4/139	0.126458936355531	0.832979515559256	0	0	2.08528829110625	4.31203761297737	GSK3B;PDE3B;CALM2;HK2	Up
GnRH signaling pathway	3/90	0.128175159918998	0.826320711818219	0	0	2.41545893719807	4.96221621655017	MAP2K3;MAP2K7;CALM2	Up
IL-17 signaling pathway	3/91	0.131273063843696	0.828661215513328	0	0	2.38891543239369	4.8506346593998	GSK3B;IL6;CXCL3	Up
TGF-beta signaling pathway	3/91	0.131273063843696	0.811749762135505	0	0	2.38891543239369	4.8506346593998	RBL1;BAMBI;ID3	Up
Morphine addiction	3/92	0.134397149419665	0.814446725483167	0	0	2.36294896030246	4.74233473722384	PDE3B;GRK6;PDE4B	Up
Small cell lung cancer	3/92	0.134397149419665	0.798477181846243	0	0	2.36294896030246	4.74233473722384	CCNE2;CCNE1;SKP2	Up
Measles	4/144	0.138638073914921	0.807833392235022	0	0	2.01288244766506	3.97723133329225	GSK3B;IL6;CCNE2;CCNE1	Up
Synthesis and degradation of ketone bodies	1/11	0.141780362501786	0.810555657321533	0	0	6.58761528326746	12.8687494187604	HMGCLL1	Up
Cholesterol metabolism	2/49	0.146647400804009	0.822854860066941	0	0	2.95770482105886	5.67797754368725	NCEH1;APOE	Up
Malaria	2/49	0.146647400804009	0.807893862611179	0	0	2.95770482105886	5.67797754368725	IL6;SDC1	Up
Notch signaling pathway	2/49	0.146647400804009	0.793467186493122	0	0	2.95770482105886	5.67797754368725	KAT2A;DTX2	Up
Glycerophospholipid metabolism	3/97	0.150391037963124	0.799447096540816	0	0	2.24114746750336	4.24589076031596	GPD2;MBOAT7;DGKZ	Up
Toll-like receptor signaling pathway	3/99	0.156952608512996	0.819942075507548	0	0	2.19587176108915	4.06634030699786	MAP2K3;IL6;MAP2K7	Up
Glucagon signaling pathway	3/102	0.166956995268151	0.857423212987283	0	0	2.13128729752771	3.81504478493608	PDE3B;CALM2;SIRT1	Up
cAMP signaling pathway	5/211	0.167944686663519	0.848120667650773	0	0	1.71715090322138	3.06360429947582	PDE3B;PDE4B;SOX9;ATP1B1;CALM2	Up
HIF-1 signaling pathway	3/104	0.173728258637673	0.862945284708442	0	0	2.09030100334448	3.65857636394137	IL6;ENO1;HK2	Up
Hippo signaling pathway	4/159	0.177755781195943	0.868709704876945	0	0	1.82298787713062	3.14892842314938	GSK3B;FZD3;FZD4;WWC1	Up
Legionellosis	2/58	0.190731165266479	0.917326080567352	0	0	2.49875062468766	4.14015580735724	IL6;CXCL3	Up
MicroRNAs in cancer	6/281	0.193662707538927	0.916871881004609	0	0	1.54726907009129	2.54005454743567	FZD3;CCNE2;CCNE1;EZR;SIRT1;EZH2	Up
Lysine degradation	2/59	0.195738757506016	0.912443746528043	0	0	2.45639891918448	4.00632370100717	ASH1L;EZH2	Up
C-type lectin receptor signaling pathway	3/112	0.201533684047013	0.925222822215831	0	0	1.94099378881988	3.10908141513925	IL6;KSR1;CALM2	Up
Glycerolipid metabolism	2/61	0.205801577544147	0.93071459695338	0	0	2.37586124970302	3.75586312708034	DGAT2;DGKZ	Up
Viral carcinogenesis	5/229	0.210425212992967	0.937629993189252	0	0	1.58217834314284	2.46602267527576	KAT2A;RBL1;CCNE2;CCNE1;SKP2	Up
Nitrogen metabolism	1/17	0.210478683796434	0.924275959279992	0	0	4.26257459505541	6.64267218931085	CAR12	Up
cGMP-PKG signaling pathway	4/172	0.214287228755626	0.927557575899355	0	0	1.68520390967307	2.59595209545984	RGS2;PDE3B;ATP1B1;CALM2	Up
Cytokine-cytokine receptor interaction	6/292	0.217293698719211	0.927323812843956	0	0	1.48898153662895	2.27293834158878	NGFR;IL11;IL6;LIF;TNFSF11;CXCL3	Up
Central carbon metabolism in cancer	2/64	0.220994448418153	0.930018303759728	0	0	2.26449275362319	3.41851833799763	NTRK3;HK2	Up
PI3K-Akt signaling pathway	7/357	0.224658523567746	0.932486748507221	0	0	1.4208581983518	2.12158809696254	NGFR;NR4A1;GSK3B;IL6;CCNE2;CCNE1;FGF2	Up
Human papillomavirus infection	7/360	0.230708675538605	0.944658495786449	0	0	1.40901771336554	2.06646468691445	GSK3B;FZD3;RBL1;CCNE2;FZD4;CCNE1;TUBG1	Up
Tuberculosis	4/178	0.231805177715824	0.936492917971929	0	0	1.62839928350432	2.38048853823368	IL6;KSR1;VDR;CALM2	Up
One carbon pool by folate	1/19	0.232137904984606	0.925497173820206	0	0	3.813882532418	5.56988430921112	TYMS	Up
Glycolysis / Gluconeogenesis	2/67	0.23627480584009	0.929756703500615	0	0	2.16309755569976	3.12083002348104	ENO1;HK2	Up
Amphetamine addiction	2/68	0.241382037429004	0.937676376166514	0	0	2.13128729752771	3.02935716767865	SIRT1;CALM2	Up
Fc epsilon RI signaling pathway	2/68	0.241382037429004	0.925807054949216	0	0	2.13128729752771	3.02935716767865	MAP2K3;MAP2K7	Up
RIG-I-like receptor signaling pathway	2/68	0.241382037429004	0.914234466762351	0	0	2.13128729752771	3.02935716767865	RNF125;PIN1	Up
Cortisol synthesis and secretion	2/69	0.24649424075013	0.92207104873197	0	0	2.10039907582441	2.94143383715432	NR4A1;NCEH1	Up
p53 signaling pathway	2/71	0.256729170365082	0.94864559293439	0	0	2.04123290467442	2.77553288741784	CCNE2;CCNE1	Up
Thyroid hormone synthesis	2/73	0.266971100097208	0.974605341318724	0	0	1.98530871550526	2.62182820285187	TTF2;ATP1B1	Up
Pertussis	2/76	0.28232964287786	1	0	0	1.906941266209	2.41167037443647	IL6;CALM2	Up
Histidine metabolism	1/24	0.283730717662723	1	0	0	3.01932367149758	3.80353160588545	CARNMT1	Up
Synaptic vesicle cycle	2/77	0.287444217355581	1	0	0	1.88217579521927	2.34655837410053	RAB3A;SLC1A3	Up
Cardiac muscle contraction	2/78	0.292554822846659	1	0	0	1.85804533630621	2.28372947108356	CYC1;ATP1B1	Up
Salivary secretion	2/78	0.292554822846659	1	0	0	1.85804533630621	2.28372947108356	ATP1B1;CALM2	Up
Salmonella infection	2/78	0.292554822846659	0.996001250815032	0	0	1.85804533630621	2.28372947108356	IL6;CXCL3	Up
Butanoate metabolism	1/27	0.313012980149018	1	0	0	2.68384326355341	3.11731245082444	HMGCLL1	Up
Phototransduction	1/27	0.313012980149018	1	0	0	2.68384326355341	3.11731245082444	CALM2	Up
Fluid shear stress and atherosclerosis	3/143	0.316027988603823	1	0	0	1.52021891152326	1.75117740618177	SDC1;MAP2K7;CALM2	Up
ErbB signaling pathway	2/84	0.323088525230317	1	0	0	1.72532781228433	1.9493252611971	GSK3B;MAP2K7	Up
Rap1 signaling pathway	4/209	0.326502894906509	1	0	0	1.38686637542473	1.55234236713479	MAP2K3;NGFR;CALM2;FGF2	Up
Fatty acid elongation	1/29	0.33186870857493	1	0	0	2.49875062468766	2.75616153018151	PPT2	Up
Hypertrophic cardiomyopathy (HCM)	2/86	0.333198361489879	1	0	0	1.68520390967307	1.85206822750068	IL6;EMD	Up
Insulin secretion	2/86	0.333198361489879	1	0	0	1.68520390967307	1.85206822750068	RAB3A;ATP1B1	Up
Non-alcoholic fatty liver disease (NAFLD)	3/151	0.346216678429891	1	0	0	1.43967751223726	1.52705220514407	GSK3B;IL6;CYC1	Up
Progesterone-mediated oocyte maturation	2/90	0.353282227749915	1	0	0	1.61030595813205	1.67550407318667	PDE3B;PLK1	Up
Galactose metabolism	1/32	0.359189751740058	1	0	0	2.26449275362319	2.31862426121284	HK2	Up
Starch and sucrose metabolism	1/33	0.368047089670196	1	0	0	2.19587176108915	2.19487129543085	HK2	Up
Hematopoietic cell lineage	2/94	0.373151921795833	1	0	0	1.54178230033919	1.51984219121412	IL11;IL6	Up
Prion diseases	1/34	0.376782437897298	1	0	0	2.13128729752771	2.08032256163461	IL6	Up
MAPK signaling pathway	5/294	0.382470140010119	1	0	0	1.23237700877452	1.18444332802897	MAP2K3;NGFR;NR4A1;MAP2K7;FGF2	Up
mRNA surveillance pathway	2/96	0.382995176967661	1	0	0	1.50966183574879	1.44887210545669	UPF2;DAZAP1	Up
Fructose and mannose metabolism	1/35	0.385397470456899	1	0	0	2.0703933747412	1.97407885392565	HK2	Up
Phosphatidylinositol signaling system	2/98	0.392771925696967	1	0	0	1.47885241052943	1.38202629002414	DGKZ;CALM2	Up
Nicotinate and nicotinamide metabolism	1/36	0.393893838660916	1	0	0	2.01288244766506	1.87534994165477	NADK2	Up
Primary immunodeficiency	1/36	0.393893838660916	1	0	0	2.01288244766506	1.87534994165477	UNG	Up
JAK-STAT signaling pathway	3/164	0.394938548229347	1	0	0	1.32555673382821	1.23147547758065	IL11;IL6;LIF	Up
Thermogenesis	4/231	0.395275690280753	1	0	0	1.25478386347952	1.16465500653371	MAP2K3;DPF1;CYC1;ATP5G2	Up
Ras signaling pathway	4/233	0.401499426952132	1	0	0	1.24401318653978	1.13522320440848	NGFR;KSR1;CALM2;FGF2	Up
RNA transport	3/167	0.406063520728816	1	0	0	1.30174433741213	1.17319145615872	UPF2;ELAC1;EIF4G1	Up
Tight junction	3/167	0.406063520728816	1	0	0	1.30174433741213	1.17319145615872	AMOTL1;EZR;MAP2K7	Up
T cell receptor signaling pathway	2/101	0.407304217129781	1	0	0	1.43492610130578	1.28884332115796	GSK3B;MAP2K7	Up
Aldosterone-regulated sodium reabsorption	1/38	0.41053707405917	1	0	0	1.906941266209	1.69772890879615	ATP1B1	Up
Ribosome	3/170	0.417128197066018	1	0	0	1.27877237851662	1.11810956190858	RPS16;MRPS10;MRPL23	Up
African trypanosomiasis	1/39	0.418687132014759	1	0	0	1.85804533630621	1.61767250021543	IL6	Up
Fat digestion and absorption	1/40	0.426724907653273	1	0	0	1.81159420289855	1.54278209735474	DGAT2	Up
Human T-cell leukemia virus 1 infection	4/245	0.438560710116186	1	0	0	1.18308192842354	0.975163593291156	KAT2A;IL6;CCNE2;CCNE1	Up
Toxoplasmosis	2/108	0.44053550273724	1	0	0	1.3419216317767	1.10005936715153	MAP2K3;IRGM1	Up
Insulin resistance	2/110	0.449842985435459	1	0	0	1.31752305665349	1.05251209270025	GSK3B;IL6	Up
Intestinal immune network for IgA production	1/43	0.450179849200872	1	0	0	1.68520390967307	1.34497490928831	IL6	Up
Nucleotide excision repair	1/43	0.450179849200872	1	0	0	1.68520390967307	1.34497490928831	POLD1	Up
Vasopressin-regulated water reabsorption	1/43	0.450179849200872	1	0	0	1.68520390967307	1.34497490928831	AQP2	Up
Axon guidance	3/180	0.453490413826987	1	0	0	1.20772946859903	0.955049695469622	EPHA4;GSK3B;FZD3	Up
Hedgehog signaling pathway	1/44	0.457783699735466	1	0	0	1.64690382081686	1.28682226242279	GSK3B	Up
Transcriptional misregulation in cancer	3/183	0.464219925570292	1	0	0	1.18793062485151	0.911614233221152	NGFR;IL6;ETV5	Up
Ribosome biogenesis in eukaryotes	2/115	0.472722864635581	1	0	0	1.26023944549464	0.944229328372795	TBL3;MDN1	Up
Sphingolipid metabolism	1/48	0.487165556012372	1	0	0	1.50966183574879	1.08567521576935	CERS1	Up
Type II diabetes mellitus	1/48	0.487165556012372	1	0	0	1.50966183574879	1.08567521576935	HK2	Up
Amino sugar and nucleotide sugar metabolism	1/49	0.494259681111859	1	0	0	1.47885241052943	1.04213876019448	HK2	Up
Arginine and proline metabolism	1/50	0.50125602230015	1	0	0	1.44927536231884	1.00092505198499	CKB	Up
N-Glycan biosynthesis	1/50	0.50125602230015	1	0	0	1.44927536231884	1.00092505198499	MGAT4B	Up
Fanconi anemia pathway	1/51	0.508155922567133	1	0	0	1.4208581983518	0.961874032837519	RAD51	Up
Chemokine signaling pathway	3/197	0.512993789974173	1	0	0	1.10350915912602	0.736583027144273	GSK3B;GRK6;CXCL3	Up
Amyotrophic lateral sclerosis (ALS)	1/52	0.514960706642077	1	0	0	1.39353400222965	0.924839296281494	MAP2K3	Up
Inflammatory mediator regulation of TRP channels	2/127	0.525219840156693	1	0	0	1.14116170261326	0.734837796283641	MAP2K3;CALM2	Up
Osteoclast differentiation	2/128	0.529433727972589	1	0	0	1.13224637681159	0.720049005219744	TNFSF11;MAP2K7	Up
NOD-like receptor signaling pathway	3/205	0.539791392366658	1	0	0	1.06044538706257	0.653841489388155	IL6;IFI204;CXCL3	Up
Regulation of lipolysis in adipocytes	1/56	0.541254543485215	1	0	0	1.29399585921325	0.794339551333738	PDE3B	Up
Valine, leucine and isoleucine degradation	1/56	0.541254543485215	1	0	0	1.29399585921325	0.794339551333738	HMGCLL1	Up
Spliceosome	2/132	0.546034481261377	1	0	0	1.09793588054458	0.664331524745171	SF3A2;LSM4	Up
Endometrial cancer	1/58	0.553863895126542	1	0	0	1.24937531234383	0.738176285713644	GSK3B	Up
Estrogen signaling pathway	2/134	0.554180705002367	1	0	0	1.08154877784988	0.638399808680509	ESR1;CALM2	Up
Oxidative phosphorylation	2/134	0.554180705002367	1	0	0	1.08154877784988	0.638399808680509	CYC1;ATP5G2	Up
Dopaminergic synapse	2/135	0.558215010940328	1	0	0	1.07353730542136	0.625884129418502	GSK3B;CALM2	Up
Inflammatory bowel disease (IBD)	1/59	0.560038462709692	1	0	0	1.22819945959224	0.712048408500828	IL6	Up
Apelin signaling pathway	2/138	0.570161992929328	1	0	0	1.0501995379122	0.590038605764072	PDE3B;CALM2	Up
Cytosolic DNA-sensing pathway	1/61	0.572133313145548	1	0	0	1.18793062485151	0.663320562862894	IL6	Up
Apoptosis	2/141	0.581874128288676	1	0	0	1.02785486689279	0.556584570931715	NGFR;LMNB2	Up
Glutathione metabolism	1/64	0.589657189497265	1	0	0	1.13224637681159	0.598068326198908	GPX4	Up
Graft-versus-host disease	1/64	0.589657189497265	1	0	0	1.13224637681159	0.598068326198908	IL6	Up
Parkinson disease	2/144	0.593350611548755	1	0	0	1.00644122383253	0.525331928542997	CYC1;ATP5G2	Up
Aminoacyl-tRNA biosynthesis	1/66	0.600940606853315	1	0	0	1.09793588054458	0.559133918754596	VARS	Up
Long-term potentiation	1/67	0.606465842168235	1	0	0	1.08154877784988	0.540889975962307	CALM2	Up
Adrenergic signaling in cardiomyocytes	2/148	0.608285475951702	1	0	0	0.979240109674892	0.486791005088828	ATP1B1;CALM2	Up
Oxytocin signaling pathway	2/154	0.629902210810856	1	0	0	0.941087897609637	0.434962067174595	RGS2;CALM2	Up
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.632969350676888	1	0	0	1.00644122383253	0.460279063166306	EMD	Up
B cell receptor signaling pathway	1/72	0.632969350676888	1	0	0	1.00644122383253	0.460279063166306	GSK3B	Up
Melanoma	1/72	0.632969350676888	1	0	0	1.00644122383253	0.460279063166306	FGF2	Up
Human immunodeficiency virus 1 infection	3/238	0.640779683226114	1	0	0	0.913408841797589	0.406530497860934	MAP2K3;MAP2K7;CALM2	Up
Glioma	1/75	0.648009774774774	1	0	0	0.966183574879227	0.419178259144599	CALM2	Up
Pancreatic cancer	1/75	0.648009774774774	1	0	0	0.966183574879227	0.419178259144599	RAD51	Up
Protein processing in endoplasmic reticulum	2/163	0.660573776701705	1	0	0	0.889125989152663	0.368672946560031	HSPH1;MAP2K7	Up
ECM-receptor interaction	1/83	0.685182253152404	1	0	0	0.873057447180024	0.33007718972602	SDC1	Up
Human cytomegalovirus infection	3/255	0.6863680761265	1	0	0	0.852514919011083	0.32083652261695	GSK3B;IL6;CALM2	Up
Peroxisome	1/84	0.689544823630764	1	0	0	0.862663906142167	0.320672511188888	HMGCLL1	Up
Viral myocarditis	1/87	0.702274408314194	1	0	0	0.832916874895885	0.294378690905732	EIF4G1	Up
Colorectal cancer	1/88	0.706400952529337	1	0	0	0.823451910408432	0.286209059013161	GSK3B	Up
Dilated cardiomyopathy (DCM)	1/90	0.714483852680913	1	0	0	0.805152979066023	0.270688310253196	EMD	Up
Protein digestion and absorption	1/90	0.714483852680913	1	0	0	0.805152979066023	0.270688310253196	ATP1B1	Up
Huntington disease	2/192	0.745672586990665	1	0	0	0.754830917874396	0.221519222941452	CYC1;ATP5G2	Up
Choline metabolism in cancer	1/99	0.748198873447463	1	0	0	0.731957253696384	0.212330890611122	DGKZ	Up
Circadian entrainment	1/99	0.748198873447463	1	0	0	0.731957253696384	0.212330890611122	CALM2	Up
AGE-RAGE signaling pathway in diabetic complications	1/101	0.7551348574934	1	0	0	0.717463050652891	0.201505902200506	IL6	Up
Longevity regulating pathway	1/102	0.758531126966516	1	0	0	0.710429099175902	0.196342315647593	SIRT1	Up
NF-kappa B signaling pathway	1/102	0.758531126966516	1	0	0	0.710429099175902	0.196342315647593	TNFSF11	Up
Th17 cell differentiation	1/102	0.758531126966516	1	0	0	0.710429099175902	0.196342315647593	IL6	Up
Chagas disease (American trypanosomiasis)	1/103	0.761880458193919	1	0	0	0.70353172928099	0.191336439153578	IL6	Up
Alcoholism	2/199	0.763265170250691	1	0	0	0.728279076542131	0.196744426264625	H2AFX;CALM2	Up
Pancreatic secretion	1/105	0.768440882830157	1	0	0	0.690131124913734	0.181774771816648	ATP1B1	Up
Amoebiasis	1/106	0.771653242501655	1	0	0	0.683620453923981	0.17720809243053	IL6	Up
Glutamatergic synapse	1/114	0.795803859226494	1	0	0	0.635647088736334	0.14518340421314	SLC1A3	Up
Leukocyte transendothelial migration	1/115	0.798637898187635	1	0	0	0.630119722747322	0.141680926084968	EZR	Up
Regulation of actin cytoskeleton	2/217	0.803735241676477	1	0	0	0.667868830561678	0.145919565506043	EZR;FGF2	Up
Sphingolipid signaling pathway	1/124	0.822443819524412	1	0	0	0.584385226741468	0.114232762508802	CERS1	Up
AMPK signaling pathway	1/126	0.827340782802649	1	0	0	0.575109270761445	0.109005404723292	SIRT1	Up
Relaxin signaling pathway	1/131	0.839002425327347	1	0	0	0.553158535236199	0.097102379568147	MAP2K7	Up
Ubiquitin mediated proteolysis	1/138	0.854021854562957	1	0	0	0.525099768956102	0.082859953107474	SKP2	Up
Vascular smooth muscle contraction	1/140	0.858050709561049	1	0	0	0.5175983436853	0.079240206619113	CALM2	Up
Systemic lupus erythematosus	1/143	0.863887189875042	1	0	0	0.50673963717442	0.074142640101848	H2AFX	Up
Phospholipase D signaling pathway	1/149	0.874852475627095	1	0	0	0.486334014200953	0.06502286067615	DGKZ	Up
Endocytosis	2/269	0.888255808299744	1	0	0	0.538764075211465	0.063841121203187	GRK6;VPS37B	Up
Hepatitis C	1/160	0.89271980708778	1	0	0	0.452898550724638	0.051396065760686	GSK3B	Up
Cell adhesion molecules (CAMs)	1/170	0.906746173505659	1	0	0	0.426257459505541	0.041727502488632	SDC1	Up
Necroptosis	1/176	0.914268544802063	1	0	0	0.411725955204216	0.036903383559273	H2AFX	Up
Calcium signaling pathway	1/189	0.928556682522502	1	0	0	0.38340618050763	0.028419543225289	CALM2	Up
Focal adhesion	1/199	0.93791027654607	1	0	0	0.364139538271065	0.023341704374447	GSK3B	Up
Herpes simplex virus 1 infection	2/433	0.983590878901116	1	0	0	0.33470562640158	0.005537785541425	IL6;ZFP266	Up
Olfactory transduction	2/1133	0.999994526163354	1	0	0	0.127914859869271	7.0018696394162E-07	RGS2;CALM2	Up

