Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Type
Nicotinate and nicotinamide metabolism	2/36	0.122833306314688	1	0	0	3.29706561160567	6.91370615226743	NNMT;NMNAT2	Down
Renin-angiotensin system	2/36	0.122833306314688	1	0	0	3.29706561160567	6.91370615226743	ANPEP;AGTR1A	Down
Riboflavin metabolism	1/8	0.127133112276478	1	0	0	7.41839762611276	15.3005980212545	FLAD1	Down
Alanine, aspartate and glutamate metabolism	2/37	0.128472600450991	1	0	0	3.20795573021092	6.58285226865056	ALDH4A1;ALDH5A1	Down
Ribosome biogenesis in eukaryotes	4/115	0.129690688669307	1	0	0	2.06424977422268	4.21644274344943	POP4;EFL1;DROSHA;GNL2	Down
Chronic myeloid leukemia	3/76	0.136716965423006	1	0	0	2.34265188193034	4.66150812739658	CDKN1B;CDKN2A;GADD45A	Down
Protein processing in endoplasmic reticulum	5/163	0.14167410253159	1	0	0	1.8204656751197	3.55760119357925	HSPA8;CASP12;FBXO2;MAN1C1;ATF4	Down
Tight junction	5/167	0.152121012159873	1	0	0	1.77686170685336	3.34597086346701	DLG3;PRKAG2;ARHGAP17;ACTR3B;MYL12B	Down
Lysosome	4/124	0.157345883167574	1	0	0	1.91442519383555	3.54036339494634	NAGLU;CTSH;CD68;CTSC	Down
Ribosome	5/170	0.160161990278452	1	0	0	1.74550532379124	3.19701437716692	RPL4;RPL5;RPS15A;RPS8;RPS24	Down
cGMP-PKG signaling pathway	5/172	0.165616877177908	1	0	0	1.72520875025878	3.10206011817415	MEF2C;NPR2;ADRA2A;AGTR1A;ATF4	Down
Taurine and hypotaurine metabolism	1/11	0.17053636782377	1	0	0	5.39519827353655	9.54306287555876	CDO1	Down
Axon guidance	5/180	0.188144964438254	1	0	0	1.64853280580284	2.75394415735221	CFL1;SEMA3B;SRGAP1;SSH3;MYL12B	Down
Antigen processing and presentation	3/90	0.193969698964388	1	0	0	1.9782393669634	3.24441804752344	HSPA8;H2-K1;H2-M3	Down
Protein digestion and absorption	3/90	0.193969698964388	1	0	0	1.9782393669634	3.24441804752344	COL2A1;COL14A1;COL10A1	Down
Pathways in cancer	12/535	0.194107137462394	1	0	0	1.33115172356416	2.18221694542122	BMP4;WNT10B;LAMA5;CDKN2B;CDKN1B;GADD45A;CDKN2A;FLT4;LPAR1;IGF2;VEGFB;AGTR1A	Down
Ras signaling pathway	6/233	0.201024293603575	1	0	0	1.52825358821207	2.45182233725059	ANGPT4;RASA3;FLT4;IGF2;VEGFB;PLCE1	Down
Apelin signaling pathway	4/138	0.204135932832957	1	0	0	1.72020814518557	2.73335770803883	MEF2C;PRKAG2;PIK3C3;AGTR1A	Down
Phosphatidylinositol signaling system	3/98	0.22895618298222	1	0	0	1.81675043904802	2.67829825184677	DGKA;PLCE1;PIK3C3	Down
Human T-cell leukemia virus 1 infection	6/245	0.233128377424029	1	0	0	1.45340035123842	2.11639217742999	EGR2;CDKN2B;CDKN2A;H2-K1;H2-M3;ATF4	Down
Adrenergic signaling in cardiomyocytes	4/148	0.23975127973856	1	0	0	1.60397786510546	2.29072616477444	CACNG7;SCN7A;AGTR1A;ATF4	Down
Glucagon signaling pathway	3/102	0.246873162700672	1	0	0	1.74550532379124	2.44175350947735	PRKAG2;PYGL;ATF4	Down
Longevity regulating pathway	3/102	0.246873162700672	1	0	0	1.74550532379124	2.44175350947735	HSPA8;PRKAG2;ATF4	Down
Gastric cancer	4/150	0.247044679653375	1	0	0	1.58259149357072	2.21275737990541	WNT10B;CDKN2B;CDKN1B;GADD45A	Down
Proteoglycans in cancer	5/203	0.25814182894894	1	0	0	1.46175322682025	1.97957363654302	WNT10B;LUM;IGF2;PLCE1;DROSHA	Down
Oxytocin signaling pathway	4/154	0.261772027100855	1	0	0	1.54148522101044	2.06602378445303	CACNG7;MEF2C;NPR2;PRKAG2	Down
Glycerolipid metabolism	2/61	0.274569323138183	1	0	0	1.94580921340663	2.51505863035997	ALDH2;DGKA	Down
One carbon pool by folate	1/19	0.276043452794468	1	0	0	3.12353584257379	4.02060592845816	MTFMT	Down
Rap1 signaling pathway	5/209	0.277370836098475	1	0	0	1.41978901935172	1.82073731014535	ANGPT4;FLT4;LPAR1;VEGFB;PLCE1	Down
Hippo signaling pathway	4/159	0.280407150546085	1	0	0	1.49301084299125	1.89838213300875	BMP4;WNT10B;DLG3;BTRC	Down
TNF signaling pathway	3/110	0.283276515896021	1	0	0	1.61855948206097	2.04154049701672	CCL20;IRF1;ATF4	Down
Wnt signaling pathway	4/160	0.284159816051536	1	0	0	1.48367952522255	1.8667929770322	WNT10B;WIF1;RSPO2;BTRC	Down
Allograft rejection	2/63	0.287079928403512	1	0	0	1.8840374923461	2.35126862760283	H2-K1;H2-M3	Down
Mitophagy	2/63	0.287079928403512	1	0	0	1.8840374923461	2.35126862760283	OPTN;ATF4	Down
Glutathione metabolism	2/64	0.293327182085691	1	0	0	1.85459940652819	2.27460428516374	GGCT;ANPEP	Down
Graft-versus-host disease	2/64	0.293327182085691	1	0	0	1.85459940652819	2.27460428516374	H2-K1;H2-M3	Down
Glycosaminoglycan degradation	1/21	0.300258613566453	1	0	0	2.82605623851915	3.40005971584573	NAGLU	Down
Regulation of actin cytoskeleton	5/217	0.303434337806279	1	0	0	1.36744656702539	1.63080315850967	ARPC3;CFL1;LPAR1;SSH3;MYL12B	Down
Non-small cell lung cancer	2/66	0.305797728685644	1	0	0	1.79839942451218	2.13080013122064	CDKN2A;GADD45A	Down
Amphetamine addiction	2/68	0.318226471522202	1	0	0	1.74550532379124	1.99858958820009	GRIA3;ATF4	Down
Mannose type O-glycan biosynthesis	1/23	0.323666138771982	1	0	0	2.58031221777835	2.91070243927958	FKTN	Down
Cortisol synthesis and secretion	2/69	0.324421664077316	1	0	0	1.72020814518557	1.9364575357699	AGTR1A;ATF4	Down
Hepatocellular carcinoma	4/171	0.325841121108124	1	0	0	1.38823815225502	1.55669443139813	WNT10B;GADD45A;CDKN2A;IGF2	Down
Histidine metabolism	1/24	0.335075466648495	1	0	0	2.47279920870425	2.70375741580059	ALDH2	Down
Adipocytokine signaling pathway	2/71	0.336767120325821	1	0	0	1.67175157771555	1.81947360741448	NPY;PRKAG2	Down
Melanoma	2/72	0.342914898047282	1	0	0	1.64853280580284	1.76438010756687	CDKN2A;GADD45A	Down
Inositol phosphate metabolism	2/73	0.349044461294788	1	0	0	1.62595016462745	1.71140355047972	PLCE1;PIK3C3	Down
Bacterial invasion of epithelial cells	2/74	0.355154679832983	1	0	0	1.60397786510546	1.66044087988578	ARPC3;CD2AP	Down
Glioma	2/75	0.361244466594665	1	0	0	1.58259149357072	1.61139522383037	CDKN2A;GADD45A	Down
Pancreatic cancer	2/75	0.361244466594665	1	0	0	1.58259149357072	1.61139522383037	CDKN2A;GADD45A	Down
Pertussis	2/76	0.3673127762648	1	0	0	1.5617679212869	1.56417545288905	IRF1;CFL1	Down
Ascorbate and aldarate metabolism	1/27	0.368164828033966	1	0	0	2.19804374107045	2.19633924348889	ALDH2	Down
Butanoate metabolism	1/27	0.368164828033966	1	0	0	2.19804374107045	2.19633924348889	ALDH5A1	Down
Neuroactive ligand-receptor interaction	7/348	0.371417850844457	1	0	0	1.19376513523654	1.18233789912489	NPY;LPAR1;ADM;PTH1R;AGTR1A;GRIA3;ADRA2A	Down
Autophagy	3/130	0.375319850990984	1	0	0	1.36955033097466	1.34212738723436	ATG4C;PIK3C3;ZFYVE1	Down
Mucin type O-glycan biosynthesis	1/28	0.378825624123884	1	0	0	2.11954217888936	2.05739566434012	GCNT4	Down
RNA polymerase	1/28	0.378825624123884	1	0	0	2.11954217888936	2.05739566434012	POLR3GL	Down
Autoimmune thyroid disease	2/78	0.3793809862299	1	0	0	1.52172258997185	1.47487535281697	H2-K1;H2-M3	Down
Salmonella infection	2/78	0.3793809862299	1	0	0	1.52172258997185	1.47487535281697	DYNC1H1;ARPC3	Down
Relaxin signaling pathway	3/131	0.379892328343229	1	0	0	1.35909574829547	1.31542448575498	MMP13;VEGFB;ATF4	Down
Fatty acid elongation	1/29	0.389307067692674	1	0	0	2.04645451754835	1.9305983212032	HACD2	Down
Signaling pathways regulating pluripotency of stem cells	3/137	0.407158636755259	1	0	0	1.29957330676428	1.16773471192754	BMP4;WNT10B;LIFR	Down
Ubiquitin mediated proteolysis	3/138	0.411670251089454	1	0	0	1.29015610888918	1.14505562059887	HERC4;FBXO2;BTRC	Down
ErbB signaling pathway	2/84	0.414973629008525	1	0	0	1.41302811925957	1.24281518345097	CDKN1B;NRG1	Down
Biosynthesis of unsaturated fatty acids	1/32	0.41970511754238	1	0	0	1.85459940652819	1.61016861161478	HACD2	Down
beta-Alanine metabolism	1/32	0.41970511754238	1	0	0	1.85459940652819	1.61016861161478	ALDH2	Down
Vascular smooth muscle contraction	3/140	0.42066111826646	1	0	0	1.27172530733362	1.10122218844041	NPR2;ADM;AGTR1A	Down
PPAR signaling pathway	2/85	0.420807998466395	1	0	0	1.39640425903299	1.20869765749965	FABP7;ANGPTL4	Down
Hypertrophic cardiomyopathy (HCM)	2/86	0.426612513510411	1	0	0	1.38016700020703	1.17573547754022	CACNG7;PRKAG2	Down
SNARE interactions in vesicular transport	1/33	0.429498737113251	1	0	0	1.79839942451218	1.51989295553836	VTI1A	Down
Starch and sucrose metabolism	1/33	0.429498737113251	1	0	0	1.79839942451218	1.51989295553836	PYGL	Down
Fc gamma R-mediated phagocytosis	2/87	0.432386522664943	1	0	0	1.3643030116989	1.1438798900069	ARPC3;CFL1	Down
Viral myocarditis	2/87	0.432386522664943	1	0	0	1.3643030116989	1.1438798900069	H2-K1;H2-M3	Down
Pentose and glucuronate interconversions	1/34	0.439127551806656	1	0	0	1.74550532379124	1.43649041245636	SORD	Down
Prion diseases	1/34	0.439127551806656	1	0	0	1.74550532379124	1.43649041245636	CASP12	Down
Arachidonic acid metabolism	2/89	0.443840567977536	1	0	0	1.33364451705398	1.08330592093709	CBR2;CYP2J6	Down
Herpes simplex virus 1 infection	8/433	0.446131006434823	1	0	0	1.09648371379034	0.885018752550452	ZFP810;ZFP747;ZFP933;ZFP317;H2-K1;H2-M3;ZFP398;ZFP386	Down
Base excision repair	1/35	0.448594326953686	1	0	0	1.69563374311149	1.35928156522092	PARP4	Down
DNA replication	1/35	0.448594326953686	1	0	0	1.69563374311149	1.35928156522092	RNASEH2B	Down
Fructose and mannose metabolism	1/35	0.448594326953686	1	0	0	1.69563374311149	1.35928156522092	SORD	Down
Breast cancer	3/147	0.451743848645619	1	0	0	1.21116695936535	0.96244167180402	WNT10B;GADD45A;FLT4	Down
IL-17 signaling pathway	2/91	0.455165513335869	1	0	0	1.3043336485473	1.02663339825155	MMP13;CCL20	Down
TGF-beta signaling pathway	2/91	0.455165513335869	1	0	0	1.3043336485473	1.02663339825155	BMP4;CDKN2B	Down
Phospholipase D signaling pathway	3/149	0.460501230544055	1	0	0	1.19490968474299	0.926580468523048	DGKA;LPAR1;AGTR1A	Down
Thyroid cancer	1/37	0.467052588366738	1	0	0	1.60397786510546	1.22112987205197	GADD45A	Down
Non-alcoholic fatty liver disease (NAFLD)	3/151	0.469198317946156	1	0	0	1.17908306640203	0.892247230706351	NDUFA5;PRKAG2;ATF4	Down
Hematopoietic cell lineage	2/94	0.471901851024204	1	0	0	1.26270597891281	0.948272312349269	ANPEP;IL11RA1	Down
Endocytosis	5/269	0.475601841845627	1	0	0	1.10310745369706	0.819801045188876	HSPA8;ARPC3;GBF1;H2-K1;H2-M3	Down
Aldosterone-regulated sodium reabsorption	1/38	0.476049376808562	1	0	0	1.5617679212869	1.15919677860299	SFN	Down
Pyruvate metabolism	1/38	0.476049376808562	1	0	0	1.5617679212869	1.15919677860299	ALDH2	Down
cAMP signaling pathway	4/211	0.476886921453187	1	0	0	1.12506504282279	0.833083525549298	NPY;FXYD1;PLCE1;GRIA3	Down
mTOR signaling pathway	3/154	0.482124971999162	1	0	0	1.15611391575783	0.843445127594561	WNT10B;WDR59;LAMTOR2	Down
Prostate cancer	2/97	0.488326078268337	1	0	0	1.22365321667839	0.877080244850354	CDKN1B;ATF4	Down
Nicotine addiction	1/40	0.493591193556757	1	0	0	1.48367952522255	1.04754843887932	GRIA3	Down
Bladder cancer	1/41	0.502141262255925	1	0	0	1.44749221972932	0.997139465816708	CDKN2A	Down
Aldosterone synthesis and secretion	2/102	0.514978832392341	1	0	0	1.16367021586083	0.772245861772167	AGTR1A;ATF4	Down
Basal transcription factors	1/43	0.518812006740819	1	0	0	1.38016700020703	0.905684471070124	GTF2H3	Down
Vasopressin-regulated water reabsorption	1/43	0.518812006740819	1	0	0	1.38016700020703	0.905684471070124	DYNC1H1	Down
Hepatitis B	3/163	0.51997203341082	1	0	0	1.09227940507182	0.714329159223643	EGR2;CASP12;ATF4	Down
HIF-1 signaling pathway	2/104	0.525380539221553	1	0	0	1.14129194247889	0.734572520366603	ANGPT4;CDKN1B	Down
Hedgehog signaling pathway	1/44	0.526937474084235	1	0	0	1.34879956838414	0.864139981765715	BTRC	Down
Glycosphingolipid biosynthesis	1/45	0.534926132424018	1	0	0	1.31882624464227	0.825092795059919	A4GALT	Down
Amoebiasis	2/106	0.535631107284248	1	0	0	1.11975813224344	0.699075737675166	LAMA5;SERPINB1A	Down
Epstein-Barr virus infection	4/229	0.540900516338315	1	0	0	1.03663198268825	0.637030988054509	CDKN1B;GADD45A;H2-K1;H2-M3	Down
Proteasome	1/46	0.542780278555438	1	0	0	1.29015610888918	0.788350773426403	PSMB10	Down
Toxoplasmosis	2/108	0.54572899744859	1	0	0	1.09902187053522	0.665603657681923	HSPA8;LAMA5	Down
Insulin resistance	2/110	0.555672941103881	1	0	0	1.07903965470731	0.634017149430336	PRKAG2;PYGL	Down
Cocaine addiction	1/48	0.558094029416464	1	0	0	1.23639960435213	0.721102645027515	ATF4	Down
Tryptophan metabolism	1/48	0.558094029416464	1	0	0	1.23639960435213	0.721102645027515	ALDH2	Down
C-type lectin receptor signaling pathway	2/112	0.565461924045413	1	0	0	1.05977108944468	0.60418855148104	EGR2;IRF1	Down
Cholesterol metabolism	1/49	0.565558037937229	1	0	0	1.21116695936535	0.69029535215097	ANGPTL4	Down
Malaria	1/49	0.565558037937229	1	0	0	1.21116695936535	0.69029535215097	THBS4	Down
Human immunodeficiency virus 1 infection	4/238	0.571381349189356	1	0	0	0.997431613594993	0.558260908429626	H2-K1;CFL1;H2-M3;BTRC	Down
Cysteine and methionine metabolism	1/50	0.572896342969226	1	0	0	1.18694362017804	0.661187514486249	CDO1	Down
Fatty acid degradation	1/50	0.572896342969226	1	0	0	1.18694362017804	0.661187514486249	ALDH2	Down
Linoleic acid metabolism	1/50	0.572896342969226	1	0	0	1.18694362017804	0.661187514486249	CYP2J6	Down
N-Glycan biosynthesis	1/50	0.572896342969226	1	0	0	1.18694362017804	0.661187514486249	MAN1C1	Down
Tuberculosis	3/178	0.579548222471464	1	0	0	1.00023338779048	0.545633720270824	MRC2;PIK3C3;TLR6	Down
Fanconi anemia pathway	1/51	0.580111055409502	1	0	0	1.16367021586083	0.633659997587329	POLI	Down
Amyotrophic lateral sclerosis (ALS)	1/52	0.58720425067476	1	0	0	1.14129194247889	0.607603929263294	CASP12	Down
Endocrine and other factor-regulated calcium reabsorption	1/55	0.607774970497681	1	0	0	1.07903965470731	0.537308421729918	PTH1R	Down
Regulation of lipolysis in adipocytes	1/56	0.614402165434977	1	0	0	1.05977108944468	0.516220403437786	NPY	Down
Valine, leucine and isoleucine degradation	1/56	0.614402165434977	1	0	0	1.05977108944468	0.516220403437786	ALDH2	Down
Calcium signaling pathway	3/189	0.620168883845891	1	0	0	0.942018746173049	0.450062121177047	PLCE1;AGTR1A;TPCN1	Down
Ovarian steroidogenesis	1/57	0.620917710758791	1	0	0	1.04117861419126	0.49618066186101	CYP2J6	Down
Human cytomegalovirus infection	4/255	0.62573434731787	1	0	0	0.93093617268866	0.436450213074901	CDKN2A;H2-K1;H2-M3;ATF4	Down
Endometrial cancer	1/58	0.627323481941439	1	0	0	1.02322725877417	0.477123658271238	GADD45A	Down
Legionellosis	1/58	0.627323481941439	1	0	0	1.02322725877417	0.477123658271238	HSPA8	Down
Cytosolic DNA-sensing pathway	1/61	0.645900437354321	1	0	0	0.972904606703313	0.42526624392669	POLR3GL	Down
Long-term depression	1/61	0.645900437354321	1	0	0	0.972904606703313	0.42526624392669	GRIA3	Down
Chemokine signaling pathway	3/197	0.647992437555073	1	0	0	0.903764177800539	0.39212181518414	CCL8;CCL20;CXCL16	Down
Spliceosome	2/132	0.654758727760693	1	0	0	0.899199712256092	0.380800706564086	HSPA8;SART1	Down
Estrogen signaling pathway	2/134	0.662834830267315	1	0	0	0.885778821028389	0.364258332626206	HSPA8;ATF4	Down
Dopaminergic synapse	2/135	0.666815720836733	1	0	0	0.879217496428179	0.356295462660626	GRIA3;ATF4	Down
Purine metabolism	2/136	0.670758685286769	1	0	0	0.872752661895619	0.348530145872211	NUDT9;NPR2	Down
Aminoacyl-tRNA biosynthesis	1/66	0.674832711768244	1	0	0	0.899199712256092	0.353646662389217	MTFMT	Down
Metabolism of xenobiotics by cytochrome P450	1/66	0.674832711768244	1	0	0	0.899199712256092	0.353646662389217	CBR2	Down
Glycolysis / Gluconeogenesis	1/67	0.680329898333048	1	0	0	0.885778821028389	0.341182030957224	ALDH2	Down
Long-term potentiation	1/67	0.680329898333048	1	0	0	0.885778821028389	0.341182030957224	ATF4	Down
Insulin signaling pathway	2/139	0.682361488947735	1	0	0	0.853916273509383	0.32636314421894	PRKAG2;PYGL	Down
Fluid shear stress and atherosclerosis	2/143	0.697310293603438	1	0	0	0.830030503621008	0.29924656701615	BMP4;MEF2C	Down
Measles	2/144	0.700955490284959	1	0	0	0.824266402901418	0.292870828028391	HSPA8;CDKN1B	Down
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.706456640723983	1	0	0	0.824266402901418	0.286427176625013	CACNG7	Down
Prolactin signaling pathway	1/72	0.706456640723983	1	0	0	0.824266402901418	0.286427176625013	IRF1	Down
Kaposi sarcoma-associated herpesvirus infection	3/216	0.708165046761351	1	0	0	0.824266402901418	0.284436280548447	H2-K1;H2-M3;PIK3C3	Down
Thyroid hormone synthesis	1/73	0.711420693110349	1	0	0	0.812975082313727	0.276810968677163	ATF4	Down
Retrograde endocannabinoid signaling	2/150	0.722068195668497	1	0	0	0.791295746785361	0.257674137064539	NDUFA5;GRIA3	Down
Renin secretion	1/76	0.725816245123617	1	0	0	0.780883960643448	0.250240826241119	AGTR1A	Down
Cardiac muscle contraction	1/78	0.735013221829071	1	0	0	0.760861294985924	0.234243925319949	CACNG7	Down
Salivary secretion	1/78	0.735013221829071	1	0	0	0.760861294985924	0.234243925319949	LYZ2	Down
Rheumatoid arthritis	1/84	0.76079917151107	1	0	0	0.706514059629787	0.193150951478224	CCL20	Down
JAK-STAT signaling pathway	2/164	0.766478749667164	1	0	0	0.723746109864659	0.192479051101501	LIFR;IL11RA1	Down
Gap junction	1/86	0.768825899146286	1	0	0	0.690083500103513	0.181416557958843	LPAR1	Down
Insulin secretion	1/86	0.768825899146286	1	0	0	0.690083500103513	0.181416557958843	ATF4	Down
Colorectal cancer	1/88	0.776584048669254	1	0	0	0.674399784192069	0.170522256442337	GADD45A	Down
Complement and coagulation cascades	1/88	0.776584048669254	1	0	0	0.674399784192069	0.170522256442337	CFB	Down
Influenza A	2/168	0.777984267774514	1	0	0	0.706514059629787	0.177369631466525	HSPA8;FURIN	Down
Cell adhesion molecules (CAMs)	2/170	0.783549259674351	1	0	0	0.698202129516495	0.170306404502422	H2-K1;H2-M3	Down
Dilated cardiomyopathy (DCM)	1/90	0.784082580865737	1	0	0	0.659413122321134	0.16039626207842	CACNG7	Down
GnRH signaling pathway	1/90	0.784082580865737	1	0	0	0.659413122321134	0.16039626207842	ATF4	Down
Retinol metabolism	1/91	0.787737208934466	1	0	0	0.652166824273649	0.155600962562188	ALDH1A2	Down
Alzheimer disease	2/175	0.796929651517329	1	0	0	0.678253497244595	0.153955995381601	CASP12;NDUFA5	Down
Necroptosis	2/176	0.799516468994002	1	0	0	0.674399784192069	0.150895702591945	PARP4;PYGL	Down
Staphylococcus aureus infection	1/95	0.801749228307003	1	0	0	0.624707168514759	0.138034922954921	CFB	Down
Glycerophospholipid metabolism	1/97	0.808405451347948	1	0	0	0.611826608339197	0.130130349717616	DGKA	Down
Choline metabolism in cancer	1/99	0.814838831873317	1	0	0	0.599466474837395	0.122749715313082	DGKA	Down
Circadian entrainment	1/99	0.814838831873317	1	0	0	0.599466474837395	0.122749715313082	GRIA3	Down
Toll-like receptor signaling pathway	1/99	0.814838831873317	1	0	0	0.599466474837395	0.122749715313082	TLR6	Down
Melanogenesis	1/100	0.817974290656315	1	0	0	0.593471810089021	0.11924295097259	WNT10B	Down
Chagas disease (American trypanosomiasis)	1/103	0.82706657379385	1	0	0	0.576186223387399	0.109400528272366	TLR6	Down
Alcoholism	2/199	0.851453410473108	1	0	0	0.596454080491478	0.095916075945982	NPY;ATF4	Down
Cholinergic synapse	1/113	0.854227596234644	1	0	0	0.525196292114178	0.082748674966759	ATF4	Down
MicroRNAs in cancer	3/281	0.855330453973722	1	0	0	0.633599797248065	0.099010985885489	CDKN1B;CDKN2A;TNN	Down
Glutamatergic synapse	1/114	0.856697788492138	1	0	0	0.520589307095632	0.08051958011438	GRIA3	Down
Leukocyte transendothelial migration	1/115	0.859126243672533	1	0	0	0.51606244355567	0.078358612792007	MYL12B	Down
Oocyte meiosis	1/116	0.861513664643898	1	0	0	0.511613629387087	0.076263359093657	BTRC	Down
NOD-like receptor signaling pathway	2/205	0.86282855622648	1	0	0	0.578996887891728	0.0854247769319	CASP12;CASP4	Down
Natural killer cell mediated cytotoxicity	1/118	0.866168157875978	1	0	0	0.502942211939848	0.072260831657125	H2-K1	Down
Neurotrophin signaling pathway	1/121	0.872859051994068	1	0	0	0.490472570321505	0.066695043111045	ATF4	Down
Platelet activation	1/125	0.881264243883775	1	0	0	0.474777448071217	0.060010806748446	MYL12B	Down
AMPK signaling pathway	1/126	0.883277493475481	1	0	0	0.471009373086524	0.058459736047075	PRKAG2	Down
Inflammatory mediator regulation of TRP channels	1/127	0.885256705917982	1	0	0	0.467300637865371	0.056953486226425	CYP2J6	Down
Serotonergic synapse	1/132	0.894661958406362	1	0	0	0.449599856128046	0.050044659724195	CYP2J6	Down
Oxidative phosphorylation	1/134	0.898205154051462	1	0	0	0.442889410514195	0.047547181072995	NDUFA5	Down
Thermogenesis	2/231	0.903462013078194	1	0	0	0.513828407003481	0.052164483676681	NDUFA5;PRKAG2	Down
Parkinson disease	1/144	0.914216042135378	1	0	0	0.412133201450709	0.036963553209604	NDUFA5	Down
RNA transport	1/167	0.94214660704188	1	0	0	0.355372341370671	0.021178195317272	POP4	Down
Huntington disease	1/192	0.962316472469225	1	0	0	0.309099901088032	0.011873117258779	NDUFA5	Down

